Month,Day,Hour,Season,Weekday,Tarrif Period,Import Rate,Export Rate,Load,solar,for Grid/Batt,BatterykWh,GridkWh,Excl Solar Cost,Grid Import kWh,Cum Import kWh,Grid Export kWh,Import Cost,Export Revenue
1,1,0,Low Demand,7,Off-Peak,118.59,69.82,1,0.0,-1.0,80.0,-1.0,1.1859,-1.0,-1.0,0.0,1.1859,0.0
1,1,1,Low Demand,7,Off-Peak,118.59,69.82,1,0.0,-1.0,80.0,-1.0,1.1859,-1.0,-2.0,0.0,1.1859,0.0
1,1,2,Low Demand,7,Off-Peak,118.59,69.82,1,0.0,-1.0,80.0,-1.0,1.1859,-1.0,-3.0,0.0,1.1859,0.0
1,1,3,Low Demand,7,Off-Peak,118.59,69.82,1,0.0,-1.0,80.0,-1.0,1.1859,-1.0,-4.0,0.0,1.1859,0.0
1,1,4,Low Demand,7,Off-Peak,118.59,69.82,1,0.0,-1.0,80.0,-1.0,1.1859,-1.0,-5.0,0.0,1.1859,0.0
1,1,5,Low Demand,7,Off-Peak,118.59,69.82,1,0.0,-1.0,80.0,-1.0,1.1859,-1.0,-6.0,0.0,1.1859,0.0
1,1,6,Low Demand,7,Off-Peak,118.59,69.82,1,1.24948,0.24947999999999992,80.0,0.24947999999999992,1.1859,0.0,-6.0,0.24947999999999992,-0.0,0.17418693599999993
1,1,7,Low Demand,7,Standard,158.13,110.05,1,5.440879999999999,4.440879999999999,80.0,4.440879999999993,1.5813,0.0,-6.0,4.440879999999993,-0.0,4.887188439999992
1,1,8,Low Demand,7,Standard,158.13,110.05,1,13.090519999999998,12.090519999999998,80.0,12.090519999999998,1.5813,0.0,-6.0,12.090519999999998,-0.0,13.305617259999996
1,1,9,Low Demand,7,Standard,158.13,110.05,1,20.43996,19.43996,80.0,19.43996,1.5813,0.0,-6.0,19.43996,-0.0,21.393675979999998
1,1,10,Low Demand,7,Standard,158.13,110.05,1,26.69372,25.69372,80.0,25.69372,1.5813,0.0,-6.0,25.69372,-0.0,28.275938859999997
1,1,11,Low Demand,7,Standard,158.13,110.05,1,30.66892,29.66892,80.0,29.66892,1.5813,0.0,-6.0,29.66892,-0.0,32.65064646
1,1,12,Low Demand,7,Off-Peak,118.59,69.82,1,32.41928,31.41928,80.0,31.41928,1.1859,0.0,-6.0,31.41928,-0.0,21.936941296
1,1,13,Low Demand,7,Off-Peak,118.59,69.82,1,32.0238,31.0238,80.0,31.0238,1.1859,0.0,-6.0,31.0238,-0.0,21.660817159999997
1,1,14,Low Demand,7,Off-Peak,118.59,69.82,1,29.55968,28.55968,80.0,28.55968,1.1859,0.0,-6.0,28.55968,-0.0,19.940368575999997
1,1,15,Low Demand,7,Off-Peak,118.59,69.82,1,24.94908,23.94908,80.0,23.94908,1.1859,0.0,-6.0,23.94908,-0.0,16.721247656
1,1,16,Low Demand,7,Off-Peak,118.59,69.82,1,18.15848,17.15848,80.0,17.15848,1.1859,0.0,-6.0,17.15848,-0.0,11.980050735999999
1,1,17,Low Demand,7,Off-Peak,118.59,69.82,1,9.88932,8.88932,80.0,8.88932,1.1859,0.0,-6.0,8.88932,-0.0,6.206523223999999
