Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (kW/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,17,0.7,0.2,0,17,0,0
1,1,1,0,0,16,0,0.2,0,16,0,0
1,1,2,0,0,15.3,3.1,0.2,0,15.3,0,0
1,1,3,0,0,14.7,2.1,0.2,0,14.7,0,0
1,1,4,0,0,14.4,0,0.2,0,14.4,0,0
1,1,5,0,3,14.2,1.3,0.2,0,14.2,0,0
1,1,6,68,59,16,2.6,0.2,45.67,16.987,36.494,31.237
1,1,7,325,151,18.5,4.1,0.2,187.183,21.624,145.128,136.022
1,1,8,555,198,20,5.1,0.2,410.769,26.126,343.395,327.263
1,1,9,781,162,22,4.1,0.2,644.176,33.009,533.88,510.999
1,1,10,871,161,23,7.7,0.2,844.4,32.531,695.968,667.343
1,1,11,932,149,23,8.2,0.2,978.828,33.541,798.999,766.723
1,1,12,937,161,24,9.3,0.2,1040.378,34.192,844.364,810.482
1,1,13,941,155,24,8.7,0.2,1028.582,34.597,834.114,800.595
1,1,14,932,138,23.5,9.5,0.2,937.94,32.549,770.248,738.992
1,1,15,862,150,23,10.3,0.2,779.728,30.078,650.749,623.727
1,1,16,748,154,23.5,10.8,0.2,561.295,28.42,474.747,453.962
1,1,17,582,135,21,10.3,0.2,319.466,23.871,260.424,247.233
1,1,18,260,110,20,9.3,0.2,115.068,21.093,84.835,77.866
1,1,19,0,24,18.1,7.7,0.2,20.59,18.322,13.553,9.109
1,1,20,0,0,18,6.2,0.2,0,18,0,0
1,1,21,0,0,18,5.7,0.2,0,18,0,0
1,1,22,0,0,17.6,6.2,0.2,0,17.6,0,0
1,1,23,0,0,17,4.6,0.2,0,17,0,0
1,2,0,0,0,17,4.1,0.2,0,17,0,0
1,2,1,0,0,17,3.6,0.2,0,17,0,0
1,2,2,0,0,18,3.1,0.2,0,18,0,0
1,2,3,0,0,18,2.6,0.2,0,18,0,0
1,2,4,0,0,17.1,3.1,0.2,0,17.1,0,0
1,2,5,0,2,19,3.1,0.2,0,19,0,0
1,2,6,0,49,18,3.6,0.2,40.959,18.75,32.299,27.191
1,2,7,24,152,17.5,5.1,0.2,131.366,19.464,110.068,102.204
1,2,8,205,258,19,5.1,0.2,308.945,23.611,259.988,246.812
1,2,9,409,308,20,4.1,0.2,533.608,29.103,445.47,425.722
1,2,10,583,317,23.2,6.2,0.2,758.567,33.154,621.197,595.222
1,2,11,656,350,24,7.2,0.2,925.551,34.935,748.408,717.926
1,2,12,791,271,24,9.3,0.2,1018.943,33.974,825.854,792.627
1,2,13,876,197,24.3,9.8,0.2,1015.757,33.858,825.395,792.184
1,2,14,891,164,25,7.7,0.2,933.77,35.531,757.488,726.684
1,2,15,872,137,25,8.7,0.2,776.595,33.019,641.038,614.36
1,2,16,769,140,24.4,6.2,0.2,561.849,31.804,469.246,448.656
1,2,17,585,134,23,6.2,0.2,320.863,27.177,258.385,245.266
1,2,18,264,110,22,5.1,0.2,116.116,23.679,84.598,77.637
1,2,19,0,24,19.9,4.1,0.2,20.603,20.236,13.516,9.074
1,2,20,0,0,18,1,0.2,0,18,0,0
1,2,21,0,0,17,3.6,0.2,0,17,0,0
1,2,22,0,0,14.9,2.6,0.2,0,14.9,0,0
1,2,23,0,0,14,2.6,0.2,0,14,0,0
1,3,0,0,0,15,1.5,0.2,0,15,0,0
1,3,1,0,0,14.2,2.1,0.2,0,14.2,0,0
1,3,2,0,0,14,1,0.2,0,14,0,0
1,3,3,0,0,13,0,0.2,0,13,0,0
1,3,4,0,0,12.2,0,0.2,0,12.2,0,0
1,3,5,0,2,13,2.1,0.2,0,13,0,0
1,3,6,63,57,15,1,0.2,44.212,16.343,35.3,30.086
1,3,7,321,149,18.6,3.6,0.2,183.508,21.896,141.819,132.83
1,3,8,553,196,20,5.7,0.2,406.486,25.64,340.188,324.171
1,3,9,784,160,22,3.6,0.2,642.484,33.82,530.926,508.149
1,3,10,871,160,23.7,1.5,0.2,842.406,46.483,656.846,629.608
1,3,11,923,155,26,1.5,0.2,975.822,52.362,738.216,708.095
1,3,12,919,174,26,6.2,0.2,1035.21,39.579,822.515,789.407
