,Load,Excl Solar Cost,Grid Import kWh,Grid Export kWh,Import Cost,Export Revenue,Cost Saving,Total Impact
0,"2,382","R4,083",-275,"5,053",R326,"R4,899","R3,757","R8,656"
1,"2,232","R3,843",-252,"4,322",R299,"R4,250","R3,545","R7,794"
2,"2,538","R4,384",-278,"4,115",R330,"R4,043","R4,054","R8,097"
3,"2,358","R4,055",-283,"2,967",R339,"R2,814","R3,716","R6,530"
4,"2,460","R8,345",-301,"2,270",R426,"R2,696","R7,919","R10,615"
5,"2,436","R8,313",-355,"1,456",R852,"R1,606","R7,461","R9,068"
6,"2,382","R8,018",-418,"1,522","R1,011","R1,603","R7,008","R8,610"
7,"2,538","R8,678",-284,"2,543",R377,"R3,055","R8,301","R11,356"
8,"2,436","R8,313",-273,"3,080",R362,"R3,869","R7,951","R11,821"
9,"2,382","R4,083",-281,"4,155",R333,"R3,992","R3,750","R7,742"
10,"2,436","R4,204",-260,"4,592",R308,"R4,631","R3,895","R8,527"
11,"2,460","R4,235",-269,"4,588",R320,"R4,627","R3,915","R8,542"
Total,"29,040","R70,555","-3,530","40,663","R5,283","R42,085","R65,273","R107,357"
